order_id,order_date,order_ts,customer_id,country,category,amount
1,2025-08-02,2022-06-22 22:43:23,6557,UAE,Books,1116.05
2,2022-07-29,2024-11-17 05:11:07,194162,USA,Beauty,158.91
3,2022-07-11,2022-12-06 15:24:52,60991,India,Books,3580.1
4,2025-12-07,2024-04-26 12:53:27,109975,Germany,Sports,2946.33
5,2022-01-14,2025-03-24 18:23:20,41854,Australia,Grocery,1389.36
6,2023-03-17,2025-04-01 01:07:27,88237,USA,Apparel,1899.64
7,2024-01-06,2025-08-09 12:52:48,90166,UAE,Electronics,3648.66
8,2025-01-03,2022-07-13 21:51:23,99231,USA,Toys,4147.02
9,2025-06-20,2025-10-07 12:02:01,94801,Germany,Apparel,229.12
10,2023-04-12,2025-04-15 22:04:36,75862,USA,Books,4332.42
11,2024-02-18,2023-03-08 19:36:25,118859,Singapore,Home,1850.9
12,2023-03-06,2024-11-07 01:56:29,69987,USA,Home,2670.7
13,2023-05-17,2022-09-11 20:05:11,121179,Australia,Toys,4947.62
14,2025-08-03,2024-12-05 00:32:14,146002,Germany,Grocery,4214.26
15,2022-04-25,2022-12-22 19:31:51,8415,Singapore,Beauty,1338.7
16,2023-03-09,2025-11-19 12:10:55,148683,Singapore,Books,3277.19
17,2024-03-21,2025-10-06 07:22:42,168520,Canada,Home,1324.4
18,2023-05-21,2025-03-03 07:12:08,147160,UAE,Beauty,4489.11
19,2024-03-28,2023-07-17 08:12:20,57494,UK,Sports,454.55
20,2022-04-07,2025-08-30 16:14:36,28744,UK,Home,3960.4
21,2024-05-14,2024-07-15 11:44:25,16654,Australia,Beauty,2979.44
22,2024-08-16,2024-04-01 22:48:45,65907,India,Apparel,3408.55
23,2025-01-04,2025-03-12 10:45:12,69947,Singapore,Apparel,1467.5
24,2022-11-20,2023-12-06 20:02:45,851,UAE,Home,2538.41
25,2022-08-06,2025-09-14 07:17:04,163919,UAE,Books,764.2
26,2022-11-27,2024-04-17 21:30:27,139030,India,Grocery,2443.03
27,2022-08-18,2025-12-14 07:18:25,95154,UAE,Books,289.63
28,2025-03-07,2022-05-03 08:16:32,22454,Canada,Apparel,4889.92
29,2024-12-26,2025-04-04 16:22:37,32968,UK,Sports,4734.24
30,2022-12-05,2023-02-16 18:01:38,138327,Australia,Books,4644.57
31,2025-11-13,2022-11-09 11:27:18,186896,UAE,Beauty,4975.75
32,2025-08-23,2023-08-04 02:07:31,114846,Canada,Apparel,1239.53
33,2022-05-12,2023-06-10 04:44:36,5515,Germany,Books,35.95
34,2025-12-20,2024-09-07 09:13:25,15434,Germany,Apparel,4527.1
35,2023-11-08,2022-04-21 01:45:12,134783,Germany,Toys,3344.89
36,2023-03-15,2024-04-17 16:05:53,34685,Canada,Books,3923.1
37,2024-04-13,2022-10-23 18:59:46,24727,USA,Beauty,1771.49
38,2024-04-21,2023-12-27 11:56:29,191123,India,Apparel,303.06
39,2023-11-26,2025-05-28 16:15:07,28645,Germany,Books,951.04
40,2024-07-07,2022-08-06 18:22:29,110594,UK,Toys,2313.14
41,2022-06-04,2023-11-20 09:06:41,144265,USA,Electronics,3260.72
42,2025-01-12,2025-07-22 17:22:03,3869,USA,Books,831.56
43,2024-09-21,2024-01-18 18:20:33,56033,Australia,Electronics,823.19
44,2022-01-05,2023-08-30 11:58:41,69522,Canada,Toys,2115.04
